BJD,RV,eRV,Inst
2457147.46578,-58445.5,9.7,HARPSN
2457147.476477,-58438.3,9.6,HARPSN
2457147.48718,-58439.0,6.2,HARPSN
2457147.497878,-58431.0,5.7,HARPSN
2457147.508575,-58444.0,7.5,HARPSN
2457147.519282,-58436.0,4.9,HARPSN
2457147.52999,-58417.3,4.7,HARPSN
2457147.540692,-58434.3,5.1,HARPSN
2457147.55139,-58435.3,5.2,HARPSN
2457147.562097,-58436.9,5.0,HARPSN
2457147.572794,-58437.5,5.0,HARPSN
2457147.583501,-58448.9,5.0,HARPSN
2457147.594208,-58453.1,4.5,HARPSN
2457147.604906,-58466.1,4.7,HARPSN
2457147.615604,-58459.3,4.5,HARPSN
2457147.626324,-58448.4,4.8,HARPSN
2457147.637027,-58446.9,4.7,HARPSN
2457147.647729,-58432.9,5.3,HARPSN
2457147.658427,-58452.3,4.6,HARPSN
2457147.669133,-58445.1,5.9,HARPSN
