BJD,Flux,Filt
2456733.856402,1.00110011,U
2456733.859296,1.00119722,U
2456733.862513,1.00019391,U
2456733.866112,0.99498984,U
2456733.869689,1.00048676,U
2456733.873265,0.99578279,U
2456733.87683,1.00257978,U
2456733.880429,0.99437555,U
2456733.884017,0.99687216,U
2456733.887617,0.98456772,U
2456733.891204,0.97756374,U
2456733.894781,0.9834606,U
2456733.898369,0.982157,U
2456733.901945,0.97415305,U
2456733.905544,0.97044936,U
2456733.909109,0.97434608,U
2456733.912709,0.97784272,U
2456733.916285,0.97043893,U
2456733.919861,0.96763536,U
2456733.923426,0.97883228,U
2456733.927002,0.97102855,U
2456733.930578,0.97682523,U
2456733.934166,0.96632149,U
2456733.937743,0.9755182,U
2456733.941319,0.96911462,U
2456733.944884,0.97151119,U
2456733.952059,0.97250422,U
2456733.955636,0.97460075,U
2456733.9592,0.97539727,U
2456733.962777,0.98569372,U
2456733.966376,0.98199021,U
2456733.969964,0.98438665,U
2456733.973563,0.98688306,U
2456733.977151,0.98727951,U
2456733.980739,0.99177586,U
2456733.984339,0.99667216,U
2456733.987915,0.99476865,U
2456733.991503,1.00016489,U
2456733.995102,1.00496111,U
2456733.998702,0.99875775,U
2456734.002289,1.00175403,U
2456734.005889,0.99885057,U
2456734.009477,1.00254679,U
2456734.013053,0.99704352,U
2456734.016641,1.0043395,U
2456734.020217,0.9997362,U
2456734.023794,1.00253244,U
2456734.027381,1.00472869,U
2456734.030981,0.99812556,U
2456734.034557,1.00412152,U
2456734.038145,0.99931831,U
2456734.041721,1.00131457,U
2456734.045321,0.99291171,U
2456734.048909,1.00180733,U
2456733.860549,0.99959996,I
2456733.862169,1.00129851,I
2456733.863801,0.99839659,I
2456733.865422,0.99879501,I
2456733.867042,0.9998935,I
2456733.868663,0.99899179,I
2456733.870295,1.00059031,I
2456733.871927,1.00018864,I
2456733.873547,1.00008701,I
2456733.875168,0.99998538,I
2456733.8768,1.00088382,I
2456733.87842,0.99898205,I
2456733.880052,0.99578016,I
2456733.881672,0.99657861,I
2456733.883293,0.99467684,I
2456733.884925,0.99277508,I
2456733.886545,0.99067331,I
2456733.888166,0.98947162,I
2456733.889798,0.98446965,I
2456733.891765,0.98346765,I
2456733.894092,0.98246529,I
2456733.896418,0.98046288,I
2456733.898733,0.97926053,I
2456733.90106,0.97895824,I
2456733.903386,0.97845593,I
2456733.905701,0.97945372,I
2456733.908028,0.9786514,I
2456733.910354,0.97704904,I
